section,key,hebrew,english
General / Common,app.name,FriendlyBet,FriendlyBet
General / Common,common.loading,טוען...,Loading...
General / Common,common.save,שמור,Save
General / Common,common.cancel,ביטול,Cancel
General / Common,common.delete,מחק,Delete
General / Common,common.close,סגור,Close
General / Common,common.back,חזור,Back
General / Common,common.next,הבא,Next
General / Common,common.confirm,אשר,Confirm
General / Common,common.yes,כן,Yes
General / Common,common.no,לא,No
General / Common,common.error,שגיאה,Error
General / Common,common.success,הצלחה,Success
General / Common,common.copy,העתק,Copy
General / Common,common.share,שתף,Share
General / Common,common.copied,הועתק!,Copied!
General / Common,common.continue,המשך,Continue
General / Common,common.skip,דלג,Skip
General / Common,common.create,צור,Create
General / Common,common.add,הוסף,Add
General / Common,common.remove,הסר,Remove
General / Common,common.edit,ערוך,Edit
General / Common,common.update,עדכן,Update
General / Common,common.send,שלח,Send
General / Common,common.points,נק\',pts
General / Common,common.bonusPoints,נק\' בונוס,bonus pts
General / Common,common.you,אתה,You
General / Common,common.admin,מארגן,Admin
General / Common,common.adminBadge,מארגן ✓,Admin ✓
General / Common,common.day,יום,day
General / Common,common.days,ימים,days
General / Common,common.daysUntil,ימים עד,days until
General / Common,common.lastUpdated,עודכן,Updated
General / Common,common.allRights,כל הזכויות,All rights reserved
General / Common,common.menu,תפריט,Menu
Onboarding,welcome.title,FriendlyBet,FriendlyBet
Onboarding,welcome.subtitle,הימור חברים על מונדיאל 2026,World Cup Predictions with Your Friends
Onboarding,welcome.tagline,100% חינמי · ללא פרסומות · ללא הגבלות,100% FREE · NO ADS · NO LIMITS · NO PAYWALLS
Onboarding,welcome.create,צור הימור חדש,Create New Pool
Onboarding,welcome.join,הצטרף להימור,Join Pool
Onboarding,welcome.recoveryLogin,יש לי קוד שחזור,I have a recovery code
Onboarding,recoveryLogin.title,התחבר עם קוד שחזור,Log in with recovery code
Onboarding,recoveryLogin.heading,הזן את הקוד,Enter your code
Onboarding,recoveryLogin.subtitle,הקוד בן 16 תווים שקיבלת בעת ההצטרפות או יצירת ההימור,The 16-character code you received when you joined or created the pool
Onboarding,recoveryLogin.codeLabel,קוד שחזור,Recovery code
Onboarding,recoveryLogin.submit,התחבר,Log in
